id,customer_id,template_id,status,coach_notes,assigned_at,submitted_at,reviewed_at,dismissed_at,dismiss_reason,project_id,archived_at,is_test_data
690183e2-3361-4eaf-b4cb-c24b5e91eedd,d567549b-b29b-4be0-a406-d94241aa44da,60488fde-c669-4ea9-ac7c-db8e3efb66d5,reviewed,"",2026-05-24 04:30:19.405002+00,2026-05-24 04:30:24.723352+00,2026-05-24 04:30:24.743396+00,,,b28df25d-6d25-4b3d-89f8-5b4ea59dd6d9,,f
f0359249-9019-4628-a01c-83ed6c628f36,d567549b-b29b-4be0-a406-d94241aa44da,5dc32789-bd50-4f08-9e3d-353f593c4623,reviewed,"",2026-05-24 04:30:48.016837+00,2026-05-24 04:30:53.761713+00,2026-05-24 04:30:53.776558+00,,,b7a0059c-8309-4177-8477-9b8662dca927,,f
c7b422f6-5492-4648-9791-d7953474ab55,d567549b-b29b-4be0-a406-d94241aa44da,78116fa3-1a38-4788-9006-2a0a68ca70f4,reviewed,"",2026-05-24 04:31:15.560612+00,2026-05-24 04:31:19.578412+00,2026-05-24 04:31:19.59232+00,,,713cac6b-5959-4d94-8272-e62e0e4209e1,,f
a08652b6-257c-4baf-ad7d-3e460e2aa69d,d567549b-b29b-4be0-a406-d94241aa44da,482ea754-4557-4b82-b180-c8dcc22fd3e4,reviewed,"",2026-05-24 04:31:24.93253+00,2026-05-24 04:31:29.561022+00,2026-05-24 04:31:29.568828+00,,,74b406cc-89dc-4f75-921c-d3cfe3f402f2,,f
e0d0094d-2783-4451-9ba8-b54a87976a8b,d567549b-b29b-4be0-a406-d94241aa44da,c894c8ac-42f7-4bbd-8ec8-658a9c2874a3,reviewed,"",2026-05-24 04:31:52.632183+00,2026-05-24 04:31:56.683029+00,2026-05-24 04:31:56.699076+00,,,e9e0dfee-1f7f-49da-ab52-7099cd6e17d9,,f
c94de44c-9150-4c09-a6ab-8ac19e91ad4d,d567549b-b29b-4be0-a406-d94241aa44da,7f17563d-101e-405c-8f21-f468aecbfe5a,reviewed,"",2026-05-24 04:32:20.096413+00,2026-05-24 04:32:26.001056+00,2026-05-24 04:32:26.028746+00,,,9606b31b-ce40-448f-b50f-5b92dad9510a,,f
c4ab44ef-90b9-4561-8047-6d832f82c657,d567549b-b29b-4be0-a406-d94241aa44da,c8c13f3d-e5cf-4c05-826f-64856d91ec06,reviewed,"",2026-05-24 04:32:35.794309+00,2026-05-24 04:32:42.067634+00,2026-05-24 04:32:42.092506+00,,,dd2187f1-c85d-4d17-8daf-d020b2d86065,,f
9914ac95-701e-4b83-87da-7417bb58eeb6,d567549b-b29b-4be0-a406-d94241aa44da,872ee5b6-1f61-4762-9e65-c404ae590ed3,reviewed,"",2026-05-24 04:33:03.242813+00,2026-05-24 04:33:09.828243+00,2026-05-24 04:33:09.855679+00,,,78be382a-4755-44f7-8660-8a9c6a83d161,,f
73a5ef45-a183-49e8-8006-a64059c421a6,d567549b-b29b-4be0-a406-d94241aa44da,41c08dc3-5bd6-4058-a8ab-9ce9c01fab6d,reviewed,"",2026-05-24 04:33:31.225076+00,2026-05-24 04:33:36.384831+00,2026-05-24 04:33:36.394915+00,,,7c770d92-7e08-4722-88f0-f932f9da42bf,,f
33744ef0-a45b-477d-93fd-5f2dda09ead8,d567549b-b29b-4be0-a406-d94241aa44da,215c0ed8-ee88-406f-a6fc-a13e925e26e4,reviewed,"",2026-05-24 04:33:42.781812+00,2026-05-24 04:33:47.701387+00,2026-05-24 04:33:47.720964+00,,,6fd0cdd3-b7b2-4c77-b8d7-f6a13f868f2a,,f
9c0453a2-120c-4b58-bb2f-7c94e97893ec,d567549b-b29b-4be0-a406-d94241aa44da,744ec34d-08cb-4c09-bd4f-5da3897c44b4,reviewed,"",2026-05-24 04:34:09.254797+00,2026-05-24 04:34:14.086956+00,2026-05-24 04:34:14.103965+00,,,e8dde01b-34a2-4791-aa0b-e5f2c2247684,,f
48574da9-a2cd-4a7c-a614-e08580b205cb,d567549b-b29b-4be0-a406-d94241aa44da,885d3d75-6e2e-4736-91da-094e5db69946,reviewed,"",2026-05-24 04:34:36.850182+00,2026-05-24 04:34:45.179148+00,2026-05-24 04:34:45.19562+00,,,6f666b10-ec22-4bc9-a282-0d3f24d4a7f0,,f
2f1c1d30-ab0d-41ec-b272-eff637b27d11,d567549b-b29b-4be0-a406-d94241aa44da,7f17563d-101e-405c-8f21-f468aecbfe5a,reviewed,"",2026-06-14 05:14:36.303068+00,2026-06-14 05:14:45.585269+00,2026-06-14 05:14:45.631821+00,,,,,f
fce27cf2-1f08-4752-adaf-154d603b3810,d567549b-b29b-4be0-a406-d94241aa44da,744ec34d-08cb-4c09-bd4f-5da3897c44b4,reviewed,"",2026-06-13 05:14:13.644419+00,2026-06-13 05:14:23.028623+00,2026-06-13 05:14:23.058272+00,,,,,f
830015bc-91de-48e8-803a-ab940392d61a,d567549b-b29b-4be0-a406-d94241aa44da,41d74343-49d6-4fcd-8f99-21e0c181c895,reviewed,"",2026-06-13 05:09:40.010279+00,2026-06-13 05:10:40.825713+00,2026-06-13 05:10:41.10742+00,,,,,f
f0465739-5a7f-4f1a-9cd7-493f94ce798c,d567549b-b29b-4be0-a406-d94241aa44da,60488fde-c669-4ea9-ac7c-db8e3efb66d5,reviewed,"",2026-06-13 05:10:51.240805+00,2026-06-13 05:11:01.592144+00,2026-06-13 05:11:01.616731+00,,,,,f
d7208baa-af6a-43fc-9f61-3db5dc55c01a,d567549b-b29b-4be0-a406-d94241aa44da,885d3d75-6e2e-4736-91da-094e5db69946,reviewed,"",2026-06-14 05:16:06.066769+00,2026-06-14 05:16:13.188089+00,2026-06-14 05:16:13.21977+00,,,,,f
0d4a4806-9327-4a1f-8a75-e9a08e4588dc,d567549b-b29b-4be0-a406-d94241aa44da,885d3d75-6e2e-4736-91da-094e5db69946,reviewed,"",2026-06-13 05:14:31.148797+00,2026-06-13 05:14:44.08557+00,2026-06-13 05:14:44.121134+00,,,,,f
d3a723aa-2d74-46a5-b842-4679be20f4a8,d567549b-b29b-4be0-a406-d94241aa44da,5dc32789-bd50-4f08-9e3d-353f593c4623,reviewed,"",2026-06-13 05:11:14.272585+00,2026-06-13 05:11:25.195453+00,2026-06-13 05:11:25.228218+00,,,,,f
cec36f59-646f-4482-84e5-8e582598fdf4,d567549b-b29b-4be0-a406-d94241aa44da,78116fa3-1a38-4788-9006-2a0a68ca70f4,reviewed,"",2026-06-13 05:11:32.716538+00,2026-06-13 05:11:41.066033+00,2026-06-13 05:11:41.093133+00,,,,,f
c13903dd-6af9-4c69-862b-782b5ab80fe8,d567549b-b29b-4be0-a406-d94241aa44da,c8c13f3d-e5cf-4c05-826f-64856d91ec06,reviewed,"",2026-06-14 05:14:52.046795+00,2026-06-14 05:15:03.292233+00,2026-06-14 05:15:03.360741+00,,,,,f
10b6fb62-f51a-48d5-bf9f-c04a623fc90b,d567549b-b29b-4be0-a406-d94241aa44da,41d74343-49d6-4fcd-8f99-21e0c181c895,reviewed,"",2026-06-14 05:12:22.947736+00,2026-06-14 05:13:21.854919+00,2026-06-14 05:13:22.153357+00,,,,,f
bf5f4fd1-ecd7-4c58-a282-851f6eb1f4bb,d567549b-b29b-4be0-a406-d94241aa44da,482ea754-4557-4b82-b180-c8dcc22fd3e4,reviewed,"",2026-06-13 05:11:49.483974+00,2026-06-13 05:12:00.710233+00,2026-06-13 05:12:00.734894+00,,,,,f
0936e31a-500f-4017-846c-2ff3f128770c,d567549b-b29b-4be0-a406-d94241aa44da,5a093f50-1acb-469f-a9ca-d3876f4f7e8f,reviewed,"",2026-06-13 05:12:09.644144+00,2026-06-13 05:12:18.669313+00,2026-06-13 05:12:18.691783+00,,,,,f
